id,"name",content_type_id,"codename"
1,"Can add permission",1,"add_permission"
2,"Can change permission",1,"change_permission"
3,"Can delete permission",1,"delete_permission"
4,"Can add group",2,"add_group"
5,"Can change group",2,"change_group"
6,"Can delete group",2,"delete_group"
7,"Can add user",3,"add_user"
8,"Can change user",3,"change_user"
9,"Can delete user",3,"delete_user"
10,"Can add content type",4,"add_contenttype"
11,"Can change content type",4,"change_contenttype"
12,"Can delete content type",4,"delete_contenttype"
13,"Can add session",5,"add_session"
14,"Can change session",5,"change_session"
15,"Can delete session",5,"delete_session"
16,"Can add site",6,"add_site"
17,"Can change site",6,"change_site"
18,"Can delete site",6,"delete_site"
19,"Can add log entry",7,"add_logentry"
20,"Can change log entry",7,"change_logentry"
21,"Can delete log entry",7,"delete_logentry"
22,"Can add tipo",8,"add_tipo"
23,"Can change tipo",8,"change_tipo"
24,"Can delete tipo",8,"delete_tipo"
25,"Can add fabricante",9,"add_fabricante"
26,"Can change fabricante",9,"change_fabricante"
27,"Can delete fabricante",9,"delete_fabricante"
28,"Can add instrumento",10,"add_instrumento"
29,"Can change instrumento",10,"change_instrumento"
30,"Can delete instrumento",10,"delete_instrumento"
31,"Can add tipo campo",11,"add_tipocampo"
32,"Can change tipo campo",11,"change_tipocampo"
33,"Can delete tipo campo",11,"delete_tipocampo"
34,"Can add tipo caracteristica",12,"add_tipocaracteristica"
35,"Can change tipo caracteristica",12,"change_tipocaracteristica"
36,"Can delete tipo caracteristica",12,"delete_tipocaracteristica"
37,"Can add instrumento caracteristica",13,"add_instrumentocaracteristica"
38,"Can change instrumento caracteristica",13,"change_instrumentocaracteristica"
39,"Can delete instrumento caracteristica",13,"delete_instrumentocaracteristica"
40,"Can add parceiro",14,"add_parceiro"
41,"Can change parceiro",14,"change_parceiro"
42,"Can delete parceiro",14,"delete_parceiro"
