id,"name","app_label","model"
1,"permission","auth","permission"
2,"group","auth","group"
3,"user","auth","user"
4,"content type","contenttypes","contenttype"
5,"session","sessions","session"
6,"site","sites","site"
7,"log entry","admin","logentry"
8,"tipo","loja","tipo"
9,"fabricante","loja","fabricante"
10,"instrumento","loja","instrumento"
11,"tipo campo","loja","tipocampo"
12,"tipo caracteristica","loja","tipocaracteristica"
13,"instrumento caracteristica","loja","instrumentocaracteristica"
14,"parceiro","loja","parceiro"
